Year,Revenue,COGS,SGA,OperatingIncome,NetIncome,OperatingCashFlow,FreeCashFlow,TangibleAssets,NetDebt
2009,42905000000.0,24294000000.0,2963000000.0,4407000000.0,8235000000.0,10159000000.0,10159000000.0,47048000000.0,-6392000000.0
2010,13499000000.0,25683000000.0,3761000000.0,18385000000.0,4308000000.0,10159000000.0,10159000000.0,35183000000.0,-9352000000.0
2011,26741000000.0,64431000000.0,4149000000.0,33790000000.0,4308000000.0,37529000000.0,37529000000.0,112094000000.0,-11875000000.0
2012,28571000000.0,87846000000.0,10040000000.0,33790000000.0,5987000000.0,50856000000.0,50856000000.0,111700000000.0,-10746000000.0
2013,108249000000.0,106606000000.0,7599000000.0,48999000000.0,9547000000.0,53666000000.0,53666000000.0,170308000000.0,5699000000.0
2014,170910000000.0,87846000000.0,10830000000.0,48999000000.0,13078000000.0,,,227123000000.0,6214000000.0
2015,51501000000.0,112258000000.0,10830000000.0,52503000000.0,11124000000.0,,,281470000000.0,14728000000.0
2016,75872000000.0,131376000000.0,11993000000.0,71230000000.0,11124000000.0,,,281436000000.0,39485000000.0
2017,233715000000.0,131376000000.0,14194000000.0,71230000000.0,17891000000.0,63598000000.0,52351000000.0,369502000000.0,61583000000.0
2018,61137000000.0,141048000000.0,16705000000.0,70898000000.0,8717000000.0,66231000000.0,52918000000.0,375319000000.0,72615000000.0
2019,265595000000.0,141048000000.0,15261000000.0,61344000000.0,55256000000.0,69391000000.0,56940000000.0,338516000000.0,67822000000.0
2020,53809000000.0,163756000000.0,19916000000.0,70898000000.0,11249000000.0,80674000000.0,73365000000.0,323888000000.0,49823000000.0
2021,260174000000.0,212981000000.0,18245000000.0,66288000000.0,94680000000.0,80674000000.0,73365000000.0,351002000000.0,63727000000.0
2022,274515000000.0,169559000000.0,25094000000.0,108949000000.0,99803000000.0,104038000000.0,96729000000.0,351002000000.0,74166000000.0
2023,365817000000.0,223546000000.0,21973000000.0,114301000000.0,94680000000.0,122151000000.0,111066000000.0,352583000000.0,65316000000.0
2024,391035000000.0,210352000000.0,26097000000.0,123216000000.0,99803000000.0,110543000000.0,101096000000.0,364980000000.0,75160000000.0
2025,383285000000.0,220960000000.0,6672000000.0,114301000000.0,96995000000.0,110543000000.0,99584000000.0,364980000000.0,55807000000.0
