| Form     | Description                                    | Rules          | HasAmendment |
|----------|------------------------------------------------|----------------|--------------|
| 1-A      | Offering statement under Regulation A          | Regulation A   | True         |
| 1-A POS  | Post-qualification amendment to a 1-A offering | Regulation A   | False        |
| 1-A-W    | Withdrawal of offering statement under Regulation A | Regulation A | True         |
| 1-E      | Notification by small business investment companies | Regulation E | True         |
| 1-E AD   | Sales material filed under Rule 607            | Rule 607       | True         |
| 1-K      | Annual Report Pursuant to Regulation A         | Regulation A   | True         |
| 1-SA     | Semiannual Report Pursuant to Regulation A     | Regulation A   | True         |
| 1-U      | Current Report pursuant to Regulation A        | Regulation A   | True         |
| 1-Z      | Exit Report under Regulation A                 | Regulation A   | True         |
| 1-Z-W    | Withdrawal of Exit Report under Regulation A   | Regulation A   | True         |
| 2-E      | Report of sales of securities under Rule 609   | Rule 609       | True         |
| 10-12B   | Initial general form for registration of securities | Section 12(b) | True      |
| 10-12G   | Initial general form for registration of securities | Section 12(g) | True      |
| 10-D     | Periodic distribution reports by asset-backed issuers | Rule 13a-17 or 15d-17 | True |
| 10-K     | Annual report                                  | Section 13 and 15(d) | True    |
| 10-KT    | Transition report                              | Rule 13a-10 or 15d-10 | True   |
| 10-Q     | Quarterly report                               | Section 13 or 15(d) | True     |
| 10-QT    | Transition report                              | Rule 13a-10 or 15d-10 | True   |
| 11-K     | Annual report of employee stock plans          | NA            | True         |
| 11-KT    | Transition report                              | Rule 13a-10 or 15d-10 | True   |
| 13F-CTR  | Confidential Treatment Request by institutional managers | NA | True       |
| 13F-HR   | Initial Quarterly Holdings Report by institutional managers | NA | True    |
| 13F-NT   | Initial Quarterly Notice Report by institutional managers | NA | True       |
| 13H      | Large Trader Registration Information         | Securities Exchange Act of 1934 | True |
| 144      | Notice for proposed sale of securities under Rule 144 | Rule 144 | True        |
| 15-12G   | Notice of termination of registration of securities | Section 12 | True        |
| 15-15D   | Notice of suspension of duty to file reports   | Section 13 and 15(d) | True    |
| 15F-12B  | Notice by Foreign Private Issuer of termination of a class of equity securities | Section 12(b) | True |
| 15F-12G  | Notice by Foreign Private Issuer of termination of registration of securities | Section 12(g) | True |
| 15F-15D  | Notice by Foreign Private Issuer of suspension of duty to file reports | Section 13 and 15(d) | True |
| 17HACON  | Confidential annual broker dealer report      | NA            | True         |
| 17HQCON  | Confidential quarterly broker dealer report   | NA            | True         |
| 18-12B   | Initial registration of securities of foreign governments | Section 12(b) | True |
| 18-12G   | Initial registration of securities of foreign political subdivisions | Section 12(g) | True |
| 18-K     | Annual report for foreign governments and political subdivisions | NA | True      |
| 20-F     | Annual and transition report of foreign private issuers | Section 13 or 15(d) | True |
| 20FR12B  | Initial registration of a class of securities of foreign private issuers | Section 12(b) | True |
| 20FR12G  | Initial registration of a class of securities of foreign private issuers | Section 12(g) | True |
| 24F-2NT  | Rule 24F-2 notice filed on Form 24F-2          | Rule 24F-2     | True         |
| 25       | Notification filed by issuer to voluntarily withdraw a class of securities | NA | True |
| 25-NSE   | Notification filed by national security exchange to report the removal of matured, redeemed, or retired securities | NA | True |
| 3        | Initial statement of beneficial ownership of securities | NA | True |
| 305B2    | Application for designation of a new trustee under the Trust Indenture Act | Trust Indenture Act | True |
| 4        | Statement of changes in beneficial ownership of securities | NA | True |
| 40-6B    | Application under the Investment Company Act by an employees’ securities company | Investment Company Act | True |
| 40-17F1  | Initial certificate of accounting of securities and similar investments in the custody of management investment companies | Rule 17f-1 | True |
| 40-17F2  | Initial certificate of accounting of securities and similar investments in the custody of management investment companies | Rule 17f-2 | True |
| 40-17G   | Fidelity bond filed pursuant to Rule 17g1(g)(1) of the Investment Company Act of 1940 | Rule 17g1(g)(1) | True |
| 40-17GCS | Filings of claim or settlement pursuant to rule 17g-1(g)(1)(2) or (3) of the Investment Company Act of 1940 | Rule 17g-1 | True |
| 40-24B2  | Filing of sales literature pursuant to Rule 24b2 under the Investment Company Act of 1940 | Rule 24b2 | True |
| 40-33    | Copies of all stockholder derivative actions filed with a court against an investment company or an affiliate thereof pursuant to Section 33 of the Investment Company Act of 1940 | Section 33 | True |
| 40-8B25  | Document or report related to investment companies | NA | False |
| 40-8F-2  | Initial application for de-registration pursuant to Investment Company Act Rule 0-2 | Rule 0-2 | True |
| 40-APP   | Applications under the Investment Company Act and/or Investment Advisers Act | Investment Company Act, Investment Advisers Act | True |
| 40-F     | Annual reports filed by certain Canadian issuers | Section 15(d), Rule 15d-4 | True |
| 40FR12B  | Registration of a class of securities of certain Canadian issuers | Section 12(b) | True |
| 40FR12G  | Registration of a class of securities of certain Canadian issuers | Section 12(g) | True |
| 40-OIP   | Applications under the Investment Company Act and/or Investment Advisers Act reviewed by Office of Insurance Products | Investment Company Act, Investment Advisers Act | True |
| 424A     | Prospectus filed pursuant to Rule 424(a) | Rule 424(a) | False |
| 424B1    | Prospectus filed pursuant to Rule 424(b)(1) | Rule 424(b)(1) | False |
| 424B2    | Prospectus filed pursuant to Rule 424(b)(2) | Rule 424(b)(2) | False |
| 424B3    | Prospectus filed pursuant to Rule 424(b)(3) | Rule 424(b)(3) | False |
| 424B4    | Prospectus filed pursuant to Rule 424(b)(4) | Rule 424(b)(4) | False |
| 424B5    | Prospectus filed pursuant to Rule 424(b)(5) | Rule 424(b)(5) | False |
| 424B7    | Prospectus filed pursuant to Rule 424(b)(7) | Rule 424(b)(7) | False |
| 424B8    | Prospectus filed pursuant to Rule 424(b)(8) | Rule 424(b)(8) | False |
| 424H     | Preliminary Prospectus filed pursuant to Rule 424(h) | Rule 424(h) | True |
| 425      | Filing under Securities Act Rule 425 of certain prospectuses and communications in connection with business combination transactions | Rule 425 | False |
| 424I     | Prospectus filed pursuant to Rule 424(i)(1) | Rule 424(i)(1) | False |
| 485APOS  | Post-effective amendment filed pursuant to Securities Act Rule 485(a) | Rule 485(a) | False |
| 485BPOS  | Post-effective amendment filed pursuant to Securities Act Rule 485(b) | Rule 485(b) | False |
| 485BXT   | Post-effective amendment filed pursuant to Securities Act Rule 485(b)(1)(iii) to designate a new effective date for a post-effective amendment previously filed pursuant to Securities Act Rule 485(a) | Rule 485(a), Rule 485(b)(1)(iii) | False |
| 486APOS  | Post-effective amendment to filing filed pursuant to Securities Act Rule 486(a) | Rule 486(a) | False |
| 486BPOS  | Post-effective amendment to filing filed pursuant to Securities Act Rule 486(b) | Rule 486(b) | False |
| 486BXT   | Post-effective amendment filed pursuant to Securities Act Rule 486(b)(1)(iii) to designate a new effective date for a post-effective amendment previously filed pursuant to Securities Act Rule 486(a) | Rule 486(a), Rule 486(b)(1)(iii) | False |
| 487      | Pre-effective pricing amendment filed pursuant to Securities Act Rule 487 | Rule 487 | False |
| 497      | Definitive materials filed under paragraph (a), (b), (c), (d), (e) or (f) of Securities Act Rule 497 | Rule 497 | False |
| 497AD    | Filing by certain investment companies of Securities Act Rule 482 advertising in accordance with Securities Act Rule 497 | Rule 482, Rule 497 | False |
| 497H2    | Filings made pursuant to Rule 497(h)(2) | Rule 497(h)(2) | False |
| 497J     | Certification of no change in definitive materials under paragraph (j) of Securities Act Rule 497 | Rule 497(j) | False |
| 497K     | Summary Prospectus for certain open-end management investment companies filed pursuant to Securities Act Rule 497(k) | Rule 497(k) | False |
| 497VPI   | Initial summary prospectus for variable contracts filed pursuant to Securities Act Rule 497(k) | Rule 497(k) | False |
| 497VPSUB | Substitution-related supplement and correspondence for variable contracts filed pursuant to the Commission Statement on Insurance Product Fund Substitution Applications | NA | False |
| 497VPU   | Updating summary prospectus for variable contracts filed pursuant to Securities Act Rule 497(k) | Rule 497(k) | False |
| 5        | Annual statement of changes in beneficial ownership of securities | NA | True |
| 6-K      | Current report of foreign issuer pursuant to Rules 13a-16 and 15d-16 Amendments | Rules 13a-16, 15d-16 | True |
| 8-A12B   | Form for the registration / listing of a class of securities on a national securities exchange pursuant to Section 12(b) | Section 12(b) | True |
| 8-A12G   | Form for registration of a class of securities pursuant to Section 12(g) | Section 12(g) | True |
| 8-K      | Current report filing | NA | True |
| 8-K12B   | Notification that a class of securities of successor issuer is deemed to be registered pursuant to Section 12(b) | Section 12(b) | True |
| 8-K12G3  | Notification that a class of securities of successor issuer is deemed to be registered pursuant to Section 12(g) | Section 12(g) | True |
| 8-K15D5  | Notification of assumption of duty to report by successor issue under Section 15(d) | Section 15(d) | True |
| ABS-15G  | Asset-backed securities report pursuant to Section 15G | Section 15G | True |
| ABS-EE   | Form for Submission of Electronic Exhibits in asset-backed securities offerings | NA | True |
| ANNLRPT  | Periodic Development Bank filing, submitted annually | NA | True |
| APP WD   | Withdrawal of an application for exemptive or other relief from the federal securities laws | NA | True |
| ARS      | Annual report to security holders | NA | True |
| ATS-N    | Initial Form ATS-N (Rule 304(a)(1)(i)) | Rule 304(a)(1)(i) | False |
| ATS-N/CA | Correcting Amendment (Rule 304(a)(2)(i)(C)) | Rule 304(a)(2)(i)(C) | False |
| ATS-N/MA | Material Amendment (Rule 304(a)(2)(i)(A)) | Rule 304(a)(2)(i)(A) | False |
| ATS-N/OFA| Order Display and Fair Access Amendment (Rule 304(a)(2)(i)(D)) | Rule 304(a)(2)(i)(D) | False |
| ATS-N/UA | Updating Amendment (Rule 304(a)(2)(i)(B)) | Rule 304(a)(2)(i)(B) | False |
| ATS-N-C  | Notice of Cessation (Rule 304(a)(3)) | Rule 304(a)(3) | False |
| ATS-N-W  | Withdrawal of Form ATS-N filing | NA | False |
| AW       | Withdrawal of amendment to a registration statement filed under the Securities Act | NA | True |
| AW WD    | Withdrawal of a request for withdrawal of an amendment to a registration statement | NA | True |
| BULK     | Bulk Submission | NA | False |
| C        | Offering Statement | NA | True |
| C-W      | Offering Statement Withdrawal | NA | True |
| C/A-W    | Amendment to Offering Statement Withdrawal | NA | True |
| C-U      | Progress Update | NA | True |
| C-U-W    | Progress Update Withdrawal | NA | True |
| C-AR     | Annual Report | NA | True |
| C-AR-W   | Annual Report Withdrawal | NA | True |
| C-AR/A-W | Amendment to Annual Report Withdrawal | NA | True |
| C-TR     | Termination of Reporting | NA | True |
| C-TR-W   | Termination of Reporting Withdrawal | NA | True |
| CB       | Notification form filed in connection with certain tender offers, business combinations and rights offerings, in which the subject company is a foreign private issuer of which less than 10% of its securities are held by U.S. persons | NA | True |
| CERT     | Certification by an exchange approving securities for listing | NA | False |
| CFPORTAL | Application for registration of funding portal | NA | True |
| CFPORTAL-W| Withdrawal of the funding portal’s registration | NA | True |
| CORRESP  | A correspondence can be sent as a document with another submission type or can be sent as a separate submission. | NA | False |
| D        | Official notice of an offering of securities that is made without registration under the Securities Act in reliance on an exemption provided by Regulation D and Section 4(a)(5) under the Act. | Regulation D, Section 4(a)(5) | True |
| DEF 14A  | Definitive proxy statements | NA | True |
| DEF 14C  | Definitive information statements | NA | True |
| DEFA14A  | Definitive additional proxy soliciting materials including Rule 14(a)(12) material. Note: Submission type DEFA14A can be filed as part of Form 8-K. For filers subject to 8-K filing requirements, we recommend the use of the 8-K combined form type as the easiest method for fulfilling your filing requirement for both forms. | Rule 14(a)(12) | True |
| DEFA14C  | Definitive additional information statement materials including Rule 14(a)(12) material | Rule 14(a)(12) | True |
| DEFC14A  | Definitive proxy statement in connection with contested solicitations | NA | True |
| DEFC14C  | Definitive information statement - contested solicitations | NA | True |
| DEFM14A  | Definitive proxy statement relating to a merger, acquisition, or disposition | NA | True |
| DEFM14C  | Definitive information statement relating to merger or acquisition | NA | True |
| DEFN14A  | Definitive proxy statement filed by non-management | NA | True |
| DEFR14A  | Definitive revised proxy soliciting materials | NA | True |
| DEFR14C  | Definitive revised information statement materials | NA | True |
| DEL AM   | Separately filed delaying amendment under Securities Act Rule 473 to delay effectiveness of a 1933 Act registration statement | Rule 473 | True |
| DFAN14A  | Definitive additional proxy soliciting materials filed by non-management including Rule 14(a)(12) material | Rule 14(a)(12) | True |
| DFRN14A  | Revised definitive proxy statement filed by non-management | NA | True |
| DOS      | Non-public draft offering statement under Regulation A | Regulation A | True |
| DOSLTR   | Draft Offering Statement Letter | NA | False |
| DRS      | Draft registration statement submitted by Emerging Growth Company under Securities Act Section 6(e) or by Foreign Private Issuer under Division of Corporation Finance policy | Section 6(e) | True |
| DRSLTR   | Correspondence Related to Draft Registration Statement | NA | False |
| DSTRBRPT | Distribution of primary obligations Development Bank report | NA | True |
| F-1      | Registration statement for securities of certain foreign private issuers | NA | True |
| F-10     | Registration statement for securities of certain Canadian issuers under the Securities Act of 1933 | NA | True |
| F-10EF   | Auto effective registration statement for securities of certain Canadian issuers under the Securities Act of 1933 | NA | True |
| F-10POS  | Post-effective amendment to a F-10EF registration | NA | False |
| F-1MEF   | A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form F-1 | Rule 462(b) | True |
| F-3      | Registration statement for specified transactions by certain foreign private issuers | NA | True |
| F-3ASR   | Automatic shelf registration statement of securities of well-known seasoned issuers | NA | True |
| F-3D     | Registration statement for dividend or interest reinvestment plan securities of foreign private issuers | NA | True |
| F-3DPOS  | Post-Effective amendment to a F-3D registration | NA | False |
| F-3MEF   | A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form F 3 | Rule 462(b) | True |
| F-4      | Registration statement for securities issued by foreign private issuers in certain business combination transactions | NA | True |
| F-4MEF   | A new registration statement filed under Rule 462(b) to add securities to a prior related effective registration statement filed on Form F 4 | Rule 462(b) | True |
| F-6 POS  | Post-effective amendment to a F-6EF registration | NA | False |
| F-6      | Registration statement for American Depositary Receipts representing securities of certain foreign private issuers | NA | True |
| F-6EF    | Auto effective registration statement for American Depositary Receipts representing securities of certain foreign private issuers | NA | True |
| F-7 POS  | Post-effective amendment to a F-7 registration | NA | False |
| F-7      | Registration statement for securities of certain Canadian issuers offered for cash upon the exercise of rights granted to existing security holders under the Securities Act of 1933 | NA | True |
| F-8 POS  | Post-effective amendment to a F-8 registration | NA | False |
| F-8      | Registration statement for securities of certain Canadian issuers to be issued in exchange offers or a business combination under the Securities Act of 1933 | NA | True |
| F-80     | Registration of securities of certain Canadian issuers to be issued in exchange offers or a business combination under the Securities Act of 1933 | NA | True |
| F-80POS  | Post-effective amendment to a F-80 registration | NA | False |
| F-N      | Notification of the appointment of an agent for service by certain foreign institutions | NA | True |
| FWP      | Filing under Securities Act Rules 163/433 of free writing prospectuses | Rules 163, 433 | True |
| F-X      | For appointment of agent for service of process by issuers registering securities | NA | True |
| IRANNOTICE| Notice of disclosure filed in Exchange Act quarterly and annual reports pursuant to Section 219 of the Iran Threat Reduction and Syria Human Rights Act of 2012 and Section 13(r) of the Exchange Act | Section 219, Section 13(r) | True |
| MA       | Municipal Advisor registration required pursuant to Section 15B(a)(2) of the Securities Exchange Act of 1934 and the Rules Thereunder. Application for Municipal Advisor Registration (MA), Annual Update of Municipal Advisor Registration (MA-A), and Amendment of a Prior Application for Registration (MA/A) | Section 15B(a)(2) | True |
| MA-I     | Information Regarding Natural Persons Who Engage in Municipal Advisory Activities, and Amendment of a Previously Submitted Form MA-I | NA | True |
| MA-W     | Notice of Withdrawal from Registration as a Municipal Advisor | NA | True |
| MODULE   | Module Submission | NA | False |
| N-14 8C  | Initial registration statement filed on Form N14 by closed-end investment company (business combinations) | NA | True |
| N-14     | Initial registration statement filed on Form N14 for open-end investment company, including those filed with automatic effectiveness under Rule 488 (business combinations) | Rule 488 | True |
