form,field,success_count,total_count,success_rate_pct,reliability,failure_count
424B3,cover_page.atm_indicator,5,5,100.0,High,0
424B3,cover_page.gross_proceeds,0,5,0.0,Low,5
424B3,cover_page.net_proceeds,0,5,0.0,Low,5
424B3,cover_page.offering_amount,5,5,100.0,High,0
424B3,cover_page.offering_price,1,5,20.0,Low,4
424B3,cover_page.registration_number,2,5,40.0,Low,3
424B3,cover_page.security_type,4,5,80.0,High,1
424B3,cover_page.share_count,0,5,0.0,Low,5
424B3,selling_shareholders.resale_amount,0,5,0.0,Low,5
424B3,selling_shareholders.section,2,5,40.0,Low,3
424B3,selling_shareholders.table,1,5,20.0,Low,4
424B5,cover_page.atm_indicator,5,5,100.0,High,0
424B5,cover_page.gross_proceeds,0,5,0.0,Low,5
424B5,cover_page.net_proceeds,0,5,0.0,Low,5
424B5,cover_page.offering_amount,5,5,100.0,High,0
424B5,cover_page.offering_price,4,5,80.0,High,1
424B5,cover_page.registration_number,2,5,40.0,Low,3
424B5,cover_page.security_type,4,5,80.0,High,1
424B5,cover_page.share_count,2,5,40.0,Low,3
424B5,offering_terms.greenshoe,5,5,100.0,High,0
424B5,underwriters.discount,2,5,40.0,Low,3
424B5,underwriters.from_section,2,5,40.0,Low,3
424B5,underwriters.from_table,0,5,0.0,Low,5
