form,field,success_count,total_count,success_rate_pct,reliability,failure_count
424B3,cover_page.atm_indicator,15,15,100.0,High,0
424B3,cover_page.gross_proceeds,0,15,0.0,Low,15
424B3,cover_page.net_proceeds,0,15,0.0,Low,15
424B3,cover_page.offering_amount,12,15,80.0,High,3
424B3,cover_page.offering_price,3,15,20.0,Low,12
424B3,cover_page.registration_number,8,15,53.3,Low,7
424B3,cover_page.security_type,9,15,60.0,Medium,6
424B3,cover_page.share_count,3,15,20.0,Low,12
424B3,selling_shareholders.resale_amount,1,15,6.7,Low,14
424B3,selling_shareholders.section,4,15,26.7,Low,11
424B3,selling_shareholders.table,2,15,13.3,Low,13
424B5,cover_page.atm_indicator,20,20,100.0,High,0
424B5,cover_page.gross_proceeds,0,20,0.0,Low,20
424B5,cover_page.net_proceeds,2,20,10.0,Low,18
424B5,cover_page.offering_amount,20,20,100.0,High,0
424B5,cover_page.offering_price,17,20,85.0,High,3
424B5,cover_page.registration_number,15,20,75.0,Medium,5
424B5,cover_page.security_type,18,20,90.0,High,2
424B5,cover_page.share_count,8,20,40.0,Low,12
424B5,offering_terms.greenshoe,20,20,100.0,High,0
424B5,underwriters.discount,9,20,45.0,Low,11
424B5,underwriters.from_section,8,20,40.0,Low,12
424B5,underwriters.from_table,0,20,0.0,Low,20
