prefix,name,type
us-gaap,AOCIAttributableToParentAbstract,xbrli:stringItemType
us-gaap,ASU201814TransitionAbstract,xbrli:stringItemType
us-gaap,ASU201602TransitionAbstract,xbrli:stringItemType
us-gaap,AOCIIncludingPortionAttributableToNoncontrollingInterestAbstract,xbrli:stringItemType
us-gaap,ASU201517TransitionAbstract,xbrli:stringItemType
us-gaap,AOCIAttributableToParentNetOfTaxRollForward,xbrli:stringItemType
us-gaap,ASU201807TransitionAbstract,xbrli:stringItemType
us-gaap,Asu201613TransitionAbstract,xbrli:stringItemType
us-gaap,Asu201812TransitionAbstract,xbrli:stringItemType
us-gaap,Asu201712TransitionAbstract,xbrli:stringItemType
us-gaap,Asu201618TransitionAbstract,xbrli:stringItemType
us-gaap,Asu201601TransitionAbstract,xbrli:stringItemType
us-gaap,Asu201409TransitionAbstract,xbrli:stringItemType
us-gaap,AdmissionMember,dtr-types:domainItemType
us-gaap,AociGainLossDebtSecuritiesAvailableForSaleWithoutAllowanceForCreditLossNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AociGainLossDebtSecuritiesAvailableForSaleWithoutAllowanceForCreditLossIncludingNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AociDerivativeQualifyingAsHedgeExcludedComponentParentMember,dtr-types:domainItemType
us-gaap,AociLossCashFlowHedgeCumulativeGainLossAfterTax,xbrli:monetaryItemType
us-gaap,AociGainLossDebtSecuritiesAvailableForSaleWithAllowanceForCreditLossNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AociIncludingPortionAttributableToNoncontrollingInterestPeriodIncreaseDecrease,xbrli:monetaryItemType
us-gaap,AociMarketRiskBenefitInstrumentSpecificCreditRiskParentMember,dtr-types:domainItemType
us-gaap,AociLiabilityForFuturePolicyBenefitExpectedFuturePolicyBenefitBeforeTax,xbrli:monetaryItemType
us-gaap,AociMarketRiskBenefitInstrumentSpecificCreditRiskBeforeTax,xbrli:monetaryItemType
us-gaap,AociLiabilityForFuturePolicyBenefitBeforeTax,xbrli:monetaryItemType
us-gaap,AociLiabilityForFuturePolicyBenefitAfterTax,xbrli:monetaryItemType
us-gaap,AociCashFlowHedgeReferenceRateReformIncreaseDecreaseAfterTax,xbrli:monetaryItemType
us-gaap,AociAttributableToNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AociLiabilityForFuturePolicyBenefitParentMember,dtr-types:domainItemType
us-gaap,AociCashFlowHedgeReferenceRateReformIncreaseDecreaseBeforeTax,xbrli:monetaryItemType
us-gaap,AociLiabilityForFuturePolicyBenefitNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AociMarketRiskBenefitInstrumentSpecificCreditRiskAfterTax,xbrli:monetaryItemType
us-gaap,AociGainLossDebtSecuritiesAvailableForSaleWithAllowanceForCreditLossAbstract,xbrli:stringItemType
us-gaap,AociGainLossDebtSecuritiesAvailableForSaleWithoutAllowanceForCreditLossAbstract,xbrli:stringItemType
us-gaap,AociBeforeTaxAttributableToParent,xbrli:monetaryItemType
us-gaap,AociIncludingPortionAttributableToNoncontrollingInterestTax,xbrli:monetaryItemType
us-gaap,AociGainLossDebtSecuritiesAvailableForSaleWithoutAllowanceForCreditLossParentMember,dtr-types:domainItemType
us-gaap,AociTaxAttributableToParent,xbrli:monetaryItemType
us-gaap,AociGainLossDebtSecuritiesAvailableForSaleWithAllowanceForCreditLossParentMember,dtr-types:domainItemType
us-gaap,AociIncludingPortionAttributableToNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AociLiabilityForFuturePolicyBenefitIncludingNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AociMarketRiskBenefitInstrumentSpecificCreditRiskNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AociDerivativeQualifyingAsHedgeExcludedComponentNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AociLiabilityForFuturePolicyBenefitExpectedNetPremiumBeforeTax,xbrli:monetaryItemType
us-gaap,AociDebtSecuritiesAvailableForSaleWithAllowanceForCreditLossCumulativeGainLossAfterTax,xbrli:monetaryItemType
us-gaap,AociMarketRiskBenefitInstrumentSpecificCreditRiskIncludingNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AociDerivativeQualifyingAsHedgeExcludedComponentAfterTax,xbrli:monetaryItemType
us-gaap,AociDebtSecuritiesAvailableForSaleWithoutAllowanceForCreditLossCumulativeGainLossAfterTax,xbrli:monetaryItemType
us-gaap,AociGainLossDebtSecuritiesAvailableForSaleWithAllowanceForCreditLossIncludingNoncontrollingInterestMember,dtr-types:domainItemType
us-gaap,AdministrationOfTheTreasuryBelgiumMember,dtr-types:domainItemType
us-gaap,AustralianTaxationOfficeMember,dtr-types:domainItemType
us-gaap,AdvancedMeteringInfrastructureCostsMember,dtr-types:domainItemType
us-gaap,AdvancedApproachMember,dtr-types:domainItemType
us-gaap,AreaOfRealEstateProperty,dtr-types:areaItemType
us-gaap,AreaOfLand,dtr-types:areaItemType
us-gaap,AtlanticDestinationMember,dtr-types:domainItemType
us-gaap,AwardTypeAxis,xbrli:stringItemType
us-gaap,AwardDateAxis,xbrli:stringItemType
us-gaap,AwardDateDomain,dtr-types:domainItemType
us-gaap,AboveMarketLeasesMember,dtr-types:domainItemType
us-gaap,AgriculturePolicyPolicyTextBlock,dtr-types:textBlockItemType
us-gaap,AgricultureAbstract,xbrli:stringItemType
us-gaap,AgricultureTextBlock,dtr-types:textBlockItemType
us-gaap,AgingOfCapitalizedExploratoryWellCostsPeriodEndDate,xbrli:dateItemType
us-gaap,AgingOfCapitalizedExploratoryWellCostsPeriodOneMember,dtr-types:domainItemType
us-gaap,AgingOfCapitalizedExploratoryWellCostsAxis,xbrli:stringItemType
us-gaap,AgingOfCapitalizedExploratoryWellCostsPeriodStartDate,xbrli:dateItemType
us-gaap,AgingOfCapitalizedExploratoryWellCostsPeriodTwoMember,dtr-types:domainItemType
us-gaap,AgingOfCapitalizedExploratoryWellCostsPeriodFiveMember,dtr-types:domainItemType
us-gaap,AgingOfCapitalizedExploratoryWellCostsPeriodThreeMember,dtr-types:domainItemType
us-gaap,AgingOfCapitalizedExploratoryWellCostsPeriodRangeDomain,dtr-types:domainItemType
us-gaap,AgingOfCapitalizedExploratoryWellCostsPeriodFourMember,dtr-types:domainItemType
us-gaap,AffordableHousingProjectInvestmentNatureOfWriteDown,xbrli:stringItemType
us-gaap,AffordableHousingTaxCreditsCommitmentYearToBePaid,dtr-types:gYearListItemType
us-gaap,AffordableHousingTaxCreditsAndOtherTaxBenefitsAmount,xbrli:monetaryItemType
us-gaap,AffordableHousingProgramAssessments,xbrli:monetaryItemType
us-gaap,AffordableHousingProgramTextBlock,dtr-types:textBlockItemType
us-gaap,AffordableHousingProjectInvestmentWriteDownAmount,xbrli:monetaryItemType
us-gaap,AffordableHousingProgramRollForward,xbrli:stringItemType
us-gaap,AffordableHousingProgramObligationPeriodIncreaseDecrease,xbrli:monetaryItemType
us-gaap,AffordableHousingProgramObligation,xbrli:monetaryItemType
us-gaap,ArtistAdvancesCommitmentsAmount,xbrli:monetaryItemType
us-gaap,ArtistAdvancesAndRoyaltyGuaranteesCommitments,xbrli:stringItemType
us-gaap,ArrangementsAndNonarrangementTransactionsMember,dtr-types:domainItemType
us-gaap,AcceleratedShareRepurchasesLineItems,xbrli:stringItemType
us-gaap,AcceleratedShareRepurchasesAdjustmentToRecordedAmount,xbrli:monetaryItemType
us-gaap,AcceleratedShareRepurchasesSettlementPaymentOrReceipt,xbrli:monetaryItemType
us-gaap,AcceleratedShareRepurchasesDateDomain,dtr-types:domainItemType
us-gaap,AcceleratedShareRepurchasesInitialPricePaidPerShare,dtr-types:perShareItemType
us-gaap,AcceleratedShareRepurchasesFinalPricePaidPerShare,dtr-types:perShareItemType
us-gaap,AcceleratedShareRepurchaseProgramAdjustment,xbrli:monetaryItemType
us-gaap,AcceleratedShareRepurchasesDateAxis,xbrli:stringItemType
us-gaap,AcceleratedShareRepurchasesTextBlock,dtr-types:textBlockItemType
us-gaap,AcceleratedShareRepurchasesCashOrStockSettlement,xbrli:stringItemType
us-gaap,AcceleratedShareRepurchasesTable,xbrli:stringItemType
us-gaap,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherVintage,xbrli:dateItemType
us-gaap,AvailableforsaleSecuritiesMember,dtr-types:domainItemType
us-gaap,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherKeyPerformanceIndicatorAbstract,xbrli:stringItemType
us-gaap,AvailableforsaleSecuritiesSoldAtPar,xbrli:monetaryItemType
us-gaap,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherLevelOfSubordination,xbrli:decimalItemType
us-gaap,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherThirdPartyGuaranteesAmount,xbrli:monetaryItemType
us-gaap,AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,xbrli:monetaryItemType
us-gaap,AvailableforsaleSecuritiesTransfersToTradingGainsLossesExcludingOtherThanTemporaryImpairments,xbrli:monetaryItemType
us-gaap,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherDefaultRate,dtr-types:percentItemType
us-gaap,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositionsGreaterThanOrEqualToOneYear,xbrli:integerItemType
us-gaap,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherLoanToCollateralValue,dtr-types:percentItemType
us-gaap,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherFairValueVolatilityRate,dtr-types:percentItemType
us-gaap,AvailableforsaleSecuritiesGrossRealizedLossesExcludingOtherThanTemporaryImpairments,xbrli:monetaryItemType
us-gaap,AvailableforsaleSecuritiesFailedAuctionValue,xbrli:monetaryItemType
us-gaap,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureOtherPercentageOfNonperformingAssets,dtr-types:percentItemType
us-gaap,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions1,xbrli:integerItemType
us-gaap,AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairmentsAbstract,xbrli:stringItemType
us-gaap,AgencySecuritiesMember,dtr-types:domainItemType
us-gaap,AcruedIncomeTaxesAbstract,xbrli:stringItemType
us-gaap,AutomobilesMember,dtr-types:domainItemType
us-gaap,AccidentAndHealthInsuranceSegmentMember,dtr-types:domainItemType
us-gaap,AccidentAndHealthInsuranceExcludingWorkersCompensationMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202110Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202006CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingPolicyElectionTroubledDebtRestructuringPrepaymentAssumptionAdoptionOfAccountingStandardsUpdate201613,xbrli:booleanItemType
us-gaap,AccountingStandardsUpdate201409RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201817Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201908Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201902Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202105Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201912Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202006RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201815RetrospectiveMember,dtr-types:domainItemType
