,"Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,"
,2024,,,,,2023,,,,,2022,
"('', '')",,,,,,,,,,,,
Revenue,"$2,865,507",,,,,"$2,225,012",,,,,"$1,905,871",
Cost of revenue,565990.0,,,,,431105.0,,,,,408549.0,
Gross profit,2299517.0,,,,,1793907.0,,,,,1497322.0,
Operating expenses:,,,,,,,,,,,,
Sales and marketing,887755.0,,,,,744992.0,,,,,702511.0,
Research and development,507878.0,,,,,404624.0,,,,,359679.0,
General and administrative,593481.0,,,,,524325.0,,,,,596333.0,
Total operating expenses,1989114.0,,,,,1673941.0,,,,,1658523.0,
Income (loss) from operations,310403.0,,,,,119966.0,,,,,-161201.0,
Interest income,196792.0,,,,,132572.0,,,,,20309.0,
"Other income (expense), net",-18022.0,,,,,-15447.0,,,,,-220135.0,
Income (loss) before provision for income taxes,489173.0,,,,,237091.0,,,,,-361027.0,
Provision for income taxes,21255.0,,,,,19716.0,,,,,10067.0,
Net income (loss),467918.0,,,,,217375.0,,,,,-371094.0,
Less: Net income attributable to noncontrolling interests,5728.0,,,,,7550.0,,,,,2611.0,
Net income (loss) attributable to common stockholders,"$462,190",,,,,"$209,825",,,,,"$(373,705)",
