"symbol","cik","exchange","industry","sector"
"MBOT","0000883975","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"SUNC","0002089661","NYSE","Oil & Gas Midstream","Energy"
"SQQQ","0001174610","NASDAQ","Asset Management","Financial Services"
"AAPG","0002023311","NASDAQ","Biotechnology","Healthcare"
"TQQQ","0001174610","NASDAQ","Asset Management","Financial Services"
"EXLS","0001297989","NASDAQ","Information Technology Services","Technology"
"NCTY","0001296774","NASDAQ","Electronic Gaming & Multimedia","Technology"
"LPAA","0002015502","NASDAQ","Shell Companies","Financial Services"
"ABLLL","0001814287","NASDAQ","Insurance - Life","Financial Services"
"APEI","0001201792","NASDAQ","Education & Training Services","Consumer Defensive"
"AGI","0001178819","NYSE","Gold","Basic Materials"
"OTGAU","0002077010","NASDAQ","Shell Companies","Financial Services"
"ABL","0001814287","NASDAQ","Insurance - Life","Financial Services"
"OFIX","0000884624","NASDAQ","Medical - Devices","Healthcare"
"NUTX","0001479681","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"SHEN","0000354963","NASDAQ","Telecommunications Services","Communication Services"
"ESPR","0001434868","NASDAQ","Drug Manufacturers - Specialty & Generic","Healthcare"
"CWCO","0000928340","NASDAQ","Regulated Water","Utilities"
"SVC","0000945394","NASDAQ","REIT - Hotel & Motel","Real Estate"
"CLMB","0000945983","NASDAQ","Technology Distributors","Technology"
"TCPC","0001370755","NASDAQ","Asset Management","Financial Services"
"CLNE","0001368265","NASDAQ","Oil & Gas Refining & Marketing","Energy"
"IPEXR","0002028355","NASDAQ","Financial - Conglomerates","Financial Services"
"NAMM","0002026514","NASDAQ","Gold","Basic Materials"
"BWAY","0001505065","NASDAQ","Medical - Devices","Healthcare"
"LGIH","0001580670","NASDAQ","Residential Construction","Consumer Cyclical"
"GTY","0001052752","NYSE","REIT - Retail","Real Estate"
"DYN","0001818794","NASDAQ","Biotechnology","Healthcare"
"BLMN","0001546417","NASDAQ","Restaurants","Consumer Cyclical"
"SFIX","0001576942","NASDAQ","Apparel - Retail","Consumer Cyclical"
"CBNK","0001419536","NASDAQ","Banks - Regional","Financial Services"
"GLRE","0001385613","NASDAQ","Insurance - Reinsurance","Financial Services"
