Year,Revenue,COGS,SGA,OperatingIncome,NetIncome,OperatingCashFlow,FreeCashFlow,TangibleAssets,NetDebt
2009,23650563000.0,8844115000.0,1667294000.0,8312186000.0,4226858000.0,9316198000.0,6913358000.0,34660234000.0,-6081593000.0
2010,21796000000.0,8844000000.0,1668000000.0,6632000000.0,6520000000.0,9316000000.0,6957000000.0,50551000000.0,-13630000000.0
2011,37905000000.0,8844000000.0,1668000000.0,8312000000.0,6520000000.0,14565000000.0,13755000000.0,63650000000.0,-4453000000.0
2012,37905000000.0,,2799000000.0,11742000000.0,8505000000.0,14565000000.0,11292000000.0,54564000000.0,-9241000000.0
2013,37905000000.0,,3845000000.0,13966000000.0,10737000000.0,14565000000.0,11127000000.0,94317000000.0,-8514000000.0
2014,66001000000.0,17176000000.0,3481000000.0,13834000000.0,10737000000.0,16619000000.0,9261000000.0,110927000000.0,-8523000000.0
2015,55519000000.0,28164000000.0,6554000000.0,19360000000.0,16348000000.0,23024000000.0,15666000000.0,128015000000.0,-9544000000.0
2016,90272000000.0,35138000000.0,10485000000.0,23716000000.0,19478000000.0,36036000000.0,26086000000.0,147722000000.0,-5693000000.0
2017,110855000000.0,35138000000.0,12893000000.0,23716000000.0,12662000000.0,37091000000.0,27141000000.0,148337000000.0,-8983000000.0
2018,90272000000.0,59549000000.0,10485000000.0,23716000000.0,30736000000.0,47971000000.0,37759000000.0,214104000000.0,-12751000000.0
2019,136819000000.0,59549000000.0,16333000000.0,34231000000.0,34343000000.0,54520000000.0,41336000000.0,253306000000.0,-13813000000.0
2020,136819000000.0,84732000000.0,11052000000.0,27524000000.0,34343000000.0,54520000000.0,32239000000.0,253289000000.0,-3179000000.0
2021,161857000000.0,110939000000.0,18464000000.0,34231000000.0,76033000000.0,54520000000.0,32239000000.0,336814000000.0,-11025000000.0
2022,282836000000.0,126203000000.0,11052000000.0,74842000000.0,76033000000.0,91495000000.0,69214000000.0,335025000000.0,-6567000000.0
2023,307394000000.0,110939000000.0,26567000000.0,74842000000.0,73795000000.0,101746000000.0,70261000000.0,373194000000.0,-7017000000.0
2024,307394000000.0,146306000000.0,14188000000.0,74842000000.0,100118000000.0,125299000000.0,93814000000.0,373432000000.0,-10466000000.0
