Year,Revenue,COGS,SGA,OperatingIncome,NetIncome,OperatingCashFlow,FreeCashFlow,TangibleAssets,NetDebt
2012,5089000000.0,493000000.0,892000000.0,538000000.0,53000000.0,1612000000.0,377000000.0,6214000000.0,867000000.0
2013,3711000000.0,860000000.0,393000000.0,2804000000.0,1500000000.0,4222000000.0,3616000000.0,14220000000.0,-3323000000.0
2014,12466000000.0,1875000000.0,1680000000.0,538000000.0,53000000.0,5457000000.0,4095000000.0,35728000000.0,-3323000000.0
2015,7872000000.0,2867000000.0,997000000.0,6225000000.0,1500000000.0,8599000000.0,6076000000.0,18071000000.0,-4315000000.0
2016,27638000000.0,3789000000.0,1680000000.0,6225000000.0,1738000000.0,16108000000.0,14277000000.0,34801000000.0,-8903000000.0
2017,17928000000.0,2867000000.0,2517000000.0,6225000000.0,3688000000.0,24216000000.0,17483000000.0,44205000000.0,-4315000000.0
2018,55838000000.0,3789000000.0,2517000000.0,12427000000.0,22112000000.0,16108000000.0,2193000000.0,77328000000.0,-10019000000.0
2019,70697000000.0,9355000000.0,7846000000.0,24913000000.0,18485000000.0,24216000000.0,10301000000.0,113367000000.0,-10019000000.0
2020,85965000000.0,12770000000.0,6564000000.0,23986000000.0,29146000000.0,38747000000.0,23632000000.0,113703000000.0,-17576000000.0
2021,70697000000.0,22649000000.0,9829000000.0,46753000000.0,39370000000.0,38747000000.0,23645000000.0,146167000000.0,-17576000000.0
2022,85965000000.0,22649000000.0,15262000000.0,32671000000.0,23200000000.0,50475000000.0,35312000000.0,146524000000.0,-7653000000.0
2023,134902000000.0,22649000000.0,11408000000.0,46753000000.0,39370000000.0,71113000000.0,43847000000.0,208544000000.0,1784000000.0
2024,116609000000.0,25249000000.0,11816000000.0,28944000000.0,39098000000.0,71113000000.0,39927000000.0,208054000000.0,14145000000.0
