Year,Revenue,COGS,SGA,OperatingIncome,NetIncome,OperatingCashFlow,FreeCashFlow,TangibleAssets,NetDebt
2010,14503000000.0,12395000000.0,13214000000.0,24098000000.0,17681000000.0,24073000000.0,22096000000.0,72452000000.0,-3400000000.0
2011,19953000000.0,12155000000.0,4063000000.0,20363000000.0,5232000000.0,19037000000.0,16682000000.0,94965000000.0,7416000000.0
2012,62484000000.0,12395000000.0,13857000000.0,21763000000.0,6634000000.0,24073000000.0,21768000000.0,104649000000.0,6416000000.0
2013,77849000000.0,15577000000.0,4222000000.0,26764000000.0,-492000000.0,28833000000.0,26478000000.0,126767000000.0,2290000000.0
2014,21456000000.0,26934000000.0,4821000000.0,21763000000.0,6558000000.0,,,119221000000.0,10990000000.0
2015,86833000000.0,27078000000.0,15811000000.0,26764000000.0,-3195000000.0,,,150748000000.0,13931000000.0
2016,20614000000.0,32780000000.0,15811000000.0,27759000000.0,22074000000.0,,,152867000000.0,39275000000.0
2017,22090000000.0,34261000000.0,14697000000.0,6026000000.0,21204000000.0,,,166423000000.0,77503000000.0
2018,30085000000.0,32780000000.0,4563000000.0,26078000000.0,20539000000.0,33325000000.0,21693000000.0,222334000000.0,79550000000.0
2019,125843000000.0,42910000000.0,4885000000.0,10258000000.0,25489000000.0,52185000000.0,38260000000.0,215976000000.0,54716000000.0
2020,29084000000.0,42910000000.0,4754000000.0,42959000000.0,11202000000.0,60675000000.0,46750000000.0,236167000000.0,53086000000.0
2021,168088000000.0,42910000000.0,20117000000.0,69916000000.0,61271000000.0,60675000000.0,40053000000.0,243800000000.0,46002000000.0
2022,198270000000.0,46078000000.0,20117000000.0,69916000000.0,72738000000.0,76740000000.0,61299000000.0,310191000000.0,43922000000.0
2023,168088000000.0,52232000000.0,20117000000.0,88523000000.0,72738000000.0,89035000000.0,68413000000.0,305763000000.0,12328000000.0
2024,198270000000.0,74114000000.0,22759000000.0,88523000000.0,72361000000.0,89035000000.0,44558000000.0,265159000000.0,26622000000.0
2025,211915000000.0,87831000000.0,22759000000.0,88523000000.0,72361000000.0,118548000000.0,90441000000.0,416680000000.0,12446000000.0
