Year,Revenue,COGS,SGA,OperatingIncome,NetIncome,OperatingCashFlow,FreeCashFlow,TangibleAssets,NetDebt
2010,982488000.0,2250590000.0,362222000.0,-98945000.0,171651000.0,249360000.0,249360000.0,3095616000.0,-665361000.0
2011,1001813000.0,2149522000.0,405613000.0,648299000.0,84862000.0,487807000.0,389917000.0,4856948000.0,-447221000.0
2012,953194000.0,477536000.0,361513000.0,648239000.0,581090000.0,675797000.0,675797000.0,4585762000.0,-732786000.0
2013,3997930000.0,503551000.0,430822000.0,648299000.0,96448000.0,835146000.0,835146000.0,6311703000.0,-665361000.0
2015,1225382000.0,550911000.0,480763000.0,648239000.0,96448000.0,835146000.0,835146000.0,6262177000.0,688499000.0
2016,1153000000.0,610000000.0,602000000.0,759000000.0,134000000.0,835000000.0,835000000.0,6586000000.0,817000000.0
2017,4682000000.0,2083000000.0,480000000.0,759000000.0,542000000.0,906000000.0,906000000.0,9119000000.0,-497000000.0
2018,1937000000.0,602000000.0,815000000.0,747000000.0,583000000.0,1175000000.0,1175000000.0,9119000000.0,219000000.0
2019,3123000000.0,1110000000.0,991000000.0,3804000000.0,838000000.0,1672000000.0,1672000000.0,12622000000.0,1392000000.0
2020,9714000000.0,4150000000.0,1093000000.0,2846000000.0,1230000000.0,4761000000.0,4761000000.0,16652000000.0,-8905000000.0
2021,10918000000.0,6279000000.0,1940000000.0,3804000000.0,4332000000.0,3743000000.0,3743000000.0,25436000000.0,-4932000000.0
2022,26914000000.0,9439000000.0,1940000000.0,10041000000.0,2796000000.0,5822000000.0,5822000000.0,37655000000.0,5117000000.0
2023,26914000000.0,6279000000.0,2440000000.0,4224000000.0,4332000000.0,5641000000.0,5641000000.0,37476000000.0,8963000000.0
2024,26914000000.0,11618000000.0,2654000000.0,10041000000.0,9752000000.0,9108000000.0,9108000000.0,59622000000.0,6320000000.0
2025,130497000000.0,32639000000.0,3491000000.0,4224000000.0,4368000000.0,5641000000.0,5641000000.0,59733000000.0,2429000000.0
