Year,Revenue,COGS,SGA,OperatingIncome,NetIncome,OperatingCashFlow,FreeCashFlow,TangibleAssets,NetDebt
2011,20812000.0,115482000.0,104102000.0,-51897000.0,-38517000.0,-80825000.0,-278721000.0,713448000.0,266974000.0
2012,116744000.0,142647000.0,84573000.0,-146838000.0,-58903000.0,-127817000.0,-312043000.0,713448000.0,250446000.0
2013,26653000.0,115482000.0,104102000.0,-251488000.0,-16264000.0,-128034000.0,-392258000.0,1114190000.0,199605000.0
2014,956661000.0,2310011000.0,285569000.0,-61283000.0,-107630000.0,,,5849251000.0,1054082000.0
2015,4046025000.0,2823302000.0,603660000.0,-186689000.0,-107630000.0,,,8092460000.0,-1196908000.0
2016,1270017000.0,2639926000.0,1432189000.0,-716629000.0,-294040000.0,,,7691794000.0,-838882332.0
2017,2696270000.0,9536264000.0,2476500000.0,-716629000.0,-773046000.0,,,28233633000.0,5494957000.0
2018,21461268000.0,5400875000.0,2834491000.0,-388073000.0,-773046000.0,2097802000.0,-1317012000.0,29624429000.0,6946857000.0
2019,21461000000.0,20509000000.0,2477000000.0,-388000000.0,311000000.0,2405000000.0,-1010000000.0,34106000000.0,3542000000.0
2020,6350000000.0,24906000000.0,2835000000.0,-69000000.0,-1063000000.0,2405000000.0,1078000000.0,34106000000.0,8474000000.0
2021,53823000000.0,24906000000.0,2646000000.0,6523000000.0,862000000.0,11497000000.0,8340000000.0,60671000000.0,-12234000000.0
2022,31536000000.0,60609000000.0,4517000000.0,6523000000.0,862000000.0,14724000000.0,11567000000.0,61722000000.0,-14136000000.0
2023,81462000000.0,79113000000.0,4800000000.0,6523000000.0,14974000000.0,14724000000.0,8242000000.0,106246000000.0,-13878000000.0
2024,81462000000.0,80240000000.0,3946000000.0,7076000000.0,2167000000.0,14724000000.0,3385000000.0,121667000000.0,-11741000000.0
